N0,seed,L2_rel_err,peak_height_err,global_nESS,local_nESS_B,max_w_over_mean_w,runtime_s
20000,0,0.2866029883829151,175.3474986656404,0.021233773744429744,0.42572693460149763,124.63962234872888,1.6075639724731445
20000,1,0.35013326295173447,309.1874584409586,0.01944717217696148,0.397563354434462,133.68673006462365,1.161741018295288
20000,2,0.21165380112784446,65.53748590595228,0.020318838740796444,0.4279993269736471,137.38217770686123,1.146207332611084
20000,3,0.30172382971351663,235.3402872088568,0.020941190729793613,0.4326426901493232,128.20550523343454,1.1412901878356934
60000,0,0.1800728744878109,123.64627320426393,0.02064442517792692,0.422645206982457,136.4521155904994,2.4788918495178223
60000,1,0.16131826202393926,98.42495639037634,0.020886447589114815,0.42466551014236564,129.52545587732243,2.047412395477295
60000,2,0.1254333957643419,29.18817733325386,0.021108153685205067,0.4342562346772737,135.47636849986864,2.0475735664367676
60000,3,0.13734420480457313,47.18179587556057,0.020477964528440206,0.42642340753738744,133.96072633306912,2.042797088623047
131072,0,0.11528409273997092,33.88892518272769,0.020309768609217425,0.4151552700657658,150.07460737969936,4.218713045120239
131072,1,0.08974154055584767,41.98274761290281,0.02129464976648837,0.43131687564111015,131.36400619109213,3.8409461975097656
131072,2,0.06356229675995222,23.156846090245722,0.02069143183792205,0.42545574230150285,141.84988549828256,3.853074073791504
131072,3,0.08890940831579282,23.907962124205937,0.02071627028091088,0.4220381353154787,141.25353853833377,3.8635101318359375
