version,kind,theta,low,high,ppc_low,tb,ci_low,ci_high,ratio_max
A_dg_cross,main,1.05,"(20000,S_dg_cross_40)","(80000,S_dg_cross_80)",12.5,7e-06,7e-06,7e-06,2.4881258340719414
A_dg_cross,main,1.1,"(20000,S_dg_cross_40)","(80000,S_dg_cross_80)",12.5,1.2e-05,1.1e-05,1.2e-05,2.4881258340719414
A_dg_cross,main,1.05,"(80000,S_dg_cross_80)","(320000,S_dg_cross_160)",12.5,9.2e-05,6.195e-05,0.00011929999999999971,1.4790731172041667
A_dg_cross,main,1.1,"(80000,S_dg_cross_80)","(320000,S_dg_cross_160)",12.5,9.3e-05,7.3e-05,0.000128,1.4790731172041667
A_dg_cross,sampling,1.05,"(20000,S_dg_cross_80)","(80000,S_dg_cross_80)",3.1,7e-06,7e-06,7e-06,2.4540733243943116
A_dg_cross,sampling,1.1,"(20000,S_dg_cross_80)","(80000,S_dg_cross_80)",3.1,1.2e-05,1.2e-05,1.2e-05,2.4540733243943116
A_dg_cross,recon,1.05,"(80000,S_dg_cross_80)","(80000,S_dg_cross_160)",12.5,4.8e-05,3.6e-05,8.099999999999999e-05,1.5611502648830546
A_dg_cross,recon,1.1,"(80000,S_dg_cross_80)","(80000,S_dg_cross_160)",12.5,5.1e-05,4.2e-05,9.175e-05,1.5611502648830546
A_dg_raw,main,1.05,"(20000,S_dg_raw_40)","(80000,S_dg_raw_80)",12.5,7e-06,7e-06,7e-06,2.486689058608177
A_dg_raw,main,1.1,"(20000,S_dg_raw_40)","(80000,S_dg_raw_80)",12.5,1.2e-05,1.2e-05,1.2e-05,2.486689058608177
B_fourier,main,1.05,"(20000,S_L2_u)","(80000,S_L2_u)",,7e-06,7e-06,7e-06,2.1721498844716667
B_fourier,main,1.1,"(20000,S_L2_u)","(80000,S_L2_u)",,1.2e-05,1.1e-05,1.2e-05,2.1721498844716667
B_fourier,main,1.05,"(80000,S_L2_u)","(320000,S_L2_u)",,0.000129,6.2e-05,0.00013,1.1922118154880197
B_fourier,main,1.1,"(80000,S_L2_u)","(320000,S_L2_u)",,0.00013,7.22e-05,0.00013099999999999999,1.1922118154880197
