seed,method,N0,Nact_final,particle_steps,global_rel_L2,global_nESS,max_mean_weight,mean_Em,median_Em,max_Em,num_Em_gt_20pct,min_local_eff,median_local_eff,n_resamples
0,weighted,20000,20000,16000000,1.4239040526404128,0.005144383867856127,690.6552327481149,0.17075686010042262,0.15813062920319987,0.4004698928052463,6,8.276462791276007,15.52801938295526,0
0,weighted_ess_resample,20000,20000,16000000,0.25124184713603354,0.7513462502325114,2.4771468536932,0.11340008444253984,0.08846796793940101,0.3887599159959269,2,132.30429039771286,490.37819426498777,3
0,minvar_branch,20000,1377930,152601755,0.27183227550907885,1.0,1.0,0.17649255775018285,0.17170913647398955,0.34638385548580547,6,4959.0,29948.5,0
0,poisson_branch,20000,1425791,158302642,0.30350481422743597,1.0,1.0,0.20235706777871165,0.171551031238605,0.6077942480404879,5,4841.0,32166.0,0
1,weighted,20000,20000,16000000,1.45237062320725,0.005921889545390873,658.6573579395051,0.21525335195264428,0.2267932387063209,0.3902658578423417,8,10.41533203740634,15.750666557105733,0
1,weighted_ess_resample,20000,20000,16000000,0.267707311024885,0.7605895984123189,2.393125908531393,0.12759085967018058,0.0958392712984589,0.410064523459354,3,110.58295706493416,483.46672608441406,3
1,minvar_branch,20000,1339191,149901321,0.26736073087944057,1.0,1.0,0.16917703235871073,0.1369713682354252,0.38096603767996207,6,4979.0,32671.5,0
1,poisson_branch,20000,1264770,141967335,0.21413271597372757,1.0,1.0,0.1469129054208455,0.1187287545009933,0.33991733630259163,5,4213.0,31139.5,0
2,weighted,20000,20000,16000000,1.4816753433054555,0.007714290453028684,451.4186688300554,0.12483800361412191,0.11423307678332498,0.3038895089183596,4,11.897895792145631,17.353080062660844,0
2,weighted_ess_resample,20000,20000,16000000,0.305715871736753,0.7455621068591611,2.4710480815632336,0.14858931083061694,0.12855057844852374,0.47207889640018263,4,91.11719738454129,413.66882698030327,3
2,minvar_branch,20000,1746164,187778654,0.32614051636854147,1.0,1.0,0.18137251500466456,0.14049790852580246,0.45333873278177167,6,4387.0,35003.0,0
2,poisson_branch,20000,1570006,171231229,0.13719605971839197,1.0,1.0,0.1213076011000309,0.10188067185112544,0.28260617247928504,3,4312.0,26690.0,0
3,weighted,20000,20000,16000000,1.5942655417671578,0.005991652524003096,713.9979171610561,0.24961278295031772,0.21666312306173718,0.6509681315149568,8,5.186024580819472,19.133932265610184,0
3,weighted_ess_resample,20000,20000,16000000,0.24706434681562714,0.7551292537898894,2.422690113972027,0.16798097316385385,0.13212649230364595,0.4676765835675887,4,116.21235848929898,463.9923955785223,3
3,minvar_branch,20000,1410877,155848600,0.15779386559519767,1.0,1.0,0.15985599866182013,0.13392121882000668,0.42340886392880567,5,5204.0,33894.0,0
3,poisson_branch,20000,1481225,162720900,0.3543257943554347,1.0,1.0,0.24578624025866755,0.2600121303156063,0.5764350571983403,9,4269.0,35118.5,0
5,weighted,20000,20000,16000000,0.9940892518525987,0.008166490395050728,562.0418386983931,0.17532208361647023,0.14752114821052922,0.6868664200788525,6,10.09268925720655,18.58287359425421,0
5,weighted_ess_resample,20000,20000,16000000,0.20748090768366478,0.76420513121862,2.3793838127844653,0.11915223775838521,0.10381610547344483,0.33010726352824954,2,143.80183614299347,502.5396385111556,3
5,minvar_branch,20000,1444160,159991576,0.27261233358848486,1.0,1.0,0.18227035289250737,0.17239188617339565,0.43290050859634654,6,5592.0,40233.5,0
5,poisson_branch,20000,1284980,144961073,0.23682660973303285,1.0,1.0,0.14803069186767806,0.13361466694828286,0.5380260238333161,3,3780.0,32808.0,0
6,weighted,20000,20000,16000000,1.5772263621443157,0.006778202674582754,504.0445834084567,0.2283505017772605,0.22202881307379974,0.4464218006725562,8,11.270566269641776,19.925556461090856,0
6,weighted_ess_resample,20000,20000,16000000,0.23540705166375828,0.7619426499688701,2.407650678465429,0.18081139899659152,0.17203711137841396,0.49342085595195695,5,100.86935356893109,532.1453795870102,3
6,minvar_branch,20000,1416359,156153512,0.2371119998687974,1.0,1.0,0.19098403113288528,0.1685226103794014,0.34729737485375395,6,3944.0,32856.0,0
6,poisson_branch,20000,1406545,156078929,0.16462783512432255,1.0,1.0,0.11989961510086501,0.10022357964836202,0.27655942645736814,4,4524.0,35667.5,0
7,weighted,20000,20000,16000000,1.7414804078258772,0.005624217601610478,689.7484551832272,0.15111769689170268,0.11916830137316389,0.4838098615589479,3,10.163139426107682,16.907325221642218,0
7,weighted_ess_resample,20000,20000,16000000,0.24363939259339457,0.7510256803868594,2.4435137873901307,0.11400616716475576,0.11449345646357126,0.32592275831476375,3,112.28205123943937,554.023420976175,3
7,minvar_branch,20000,1556970,169566067,0.147147407756353,1.0,1.0,0.1507009941454467,0.124038943336561,0.6147139990497088,3,4119.0,48376.5,0
7,poisson_branch,20000,1631601,176974192,0.24497365586422543,1.0,1.0,0.1675105645447921,0.09560361250388427,0.5190378087341411,5,3711.0,46257.5,0
