experiment,method,seed,K,h,region,E_total,E_particle,E_proj,E_KDE_rep,E_bias,global_nESS,local_nESS_or_count,N_active,particle_steps
switching,weighted,0,,0.06,global,,,,0.3105906004921882,0.08820524392046668,0.03251261162790135,0.03251261162790135,20000,24000000
switching,weighted,0,,0.06,B_A,,,,0.33122999059913416,0.05055311994520095,0.03251261162790135,0.4048396926889349,20000,24000000
switching,weighted,0,,0.06,B_B,,,,0.2662322476950555,0.10094393113081096,0.03251261162790135,0.5409385070084034,20000,24000000
switching,weighted_ess,0,,0.06,global,,,,0.1403805284199788,0.08820524392046668,0.6029744160278271,0.6029744160278271,20000,24000000
switching,weighted_ess,0,,0.06,B_A,,,,0.08610478537545252,0.05055311994520095,0.6029744160278271,0.9999999999999998,20000,24000000
switching,weighted_ess,0,,0.06,B_B,,,,0.15649580849196104,0.10094393113081096,0.6029744160278271,0.9252930832325024,20000,24000000
switching,minvar,0,,0.06,global,,,,0.14149875223941571,0.08820524392046668,nan,43597.0,43597,34075191
switching,minvar,0,,0.06,B_A,,,,0.08697100788454322,0.05055311994520095,nan,7565.0,43597,34075191
switching,minvar,0,,0.06,B_B,,,,0.1584453057001093,0.10094393113081096,nan,10669.0,43597,34075191
switching,weighted,0,,0.1,global,,,,0.1838448876923793,0.20488247029456688,0.03251261162790135,0.03251261162790135,20000,24000000
switching,weighted,0,,0.1,B_A,,,,0.20486445457822958,0.12799544696577506,0.03251261162790135,0.4048396926889349,20000,24000000
switching,weighted,0,,0.1,B_B,,,,0.14231920657383657,0.23010970595152505,0.03251261162790135,0.5409385070084034,20000,24000000
switching,weighted_ess,0,,0.1,global,,,,0.11692705135925203,0.20488247029456688,0.6029744160278271,0.6029744160278271,20000,24000000
switching,weighted_ess,0,,0.1,B_A,,,,0.0758475728028236,0.12799544696577506,0.6029744160278271,0.9999999999999998,20000,24000000
switching,weighted_ess,0,,0.1,B_B,,,,0.1323166330120333,0.23010970595152505,0.6029744160278271,0.9252930832325024,20000,24000000
switching,minvar,0,,0.1,global,,,,0.12729569402056548,0.20488247029456688,nan,43597.0,43597,34075191
switching,minvar,0,,0.1,B_A,,,,0.08282571793154546,0.12799544696577506,nan,7565.0,43597,34075191
switching,minvar,0,,0.1,B_B,,,,0.14372030655129545,0.23010970595152505,nan,10669.0,43597,34075191
switching,weighted,0,,0.15,global,,,,0.11131078100216914,0.3538662352646955,0.03251261162790135,0.03251261162790135,20000,24000000
switching,weighted,0,,0.15,B_A,,,,0.12222069045109094,0.24613203331349942,0.03251261162790135,0.4048396926889349,20000,24000000
switching,weighted,0,,0.15,B_B,,,,0.06935771573617994,0.38857873392717496,0.03251261162790135,0.5409385070084034,20000,24000000
switching,weighted_ess,0,,0.15,global,,,,0.10402545496296628,0.3538662352646955,0.6029744160278271,0.6029744160278271,20000,24000000
switching,weighted_ess,0,,0.15,B_A,,,,0.06701956642905023,0.24613203331349942,0.6029744160278271,0.9999999999999998,20000,24000000
switching,weighted_ess,0,,0.15,B_B,,,,0.12150976225501511,0.38857873392717496,0.6029744160278271,0.9252930832325024,20000,24000000
switching,minvar,0,,0.15,global,,,,0.11441372488692507,0.3538662352646955,nan,43597.0,43597,34075191
switching,minvar,0,,0.15,B_A,,,,0.07950013844565416,0.24613203331349942,nan,7565.0,43597,34075191
switching,minvar,0,,0.15,B_B,,,,0.12948032150763278,0.38857873392717496,nan,10669.0,43597,34075191
switching,weighted,1,,0.06,global,,,,0.308381806793834,0.08820524392046668,0.032243511948947604,0.032243511948947604,20000,24000000
switching,weighted,1,,0.06,B_A,,,,0.24553356347981653,0.05055311994520095,0.032243511948947604,0.3387446765869752,20000,24000000
switching,weighted,1,,0.06,B_B,,,,0.3210532360672447,0.10094393113081096,0.032243511948947604,0.4756015824907374,20000,24000000
switching,weighted_ess,1,,0.06,global,,,,0.16943985061169692,0.08820524392046668,0.537278621112699,0.537278621112699,20000,24000000
switching,weighted_ess,1,,0.06,B_A,,,,0.07084107637396622,0.05055311994520095,0.537278621112699,0.9999999999999996,20000,24000000
switching,weighted_ess,1,,0.06,B_B,,,,0.19527018014524536,0.10094393113081096,0.537278621112699,0.9124361279618617,20000,24000000
switching,minvar,1,,0.06,global,,,,0.1368928513219925,0.08820524392046668,nan,43481.0,43481,33884401
switching,minvar,1,,0.06,B_A,,,,0.08274149605425994,0.05055311994520095,nan,7345.0,43481,33884401
switching,minvar,1,,0.06,B_B,,,,0.15436903987702677,0.10094393113081096,nan,11006.0,43481,33884401
switching,weighted,1,,0.1,global,,,,0.2313819078785975,0.20488247029456688,0.032243511948947604,0.032243511948947604,20000,24000000
switching,weighted,1,,0.1,B_A,,,,0.13005757494693446,0.12799544696577506,0.032243511948947604,0.3387446765869752,20000,24000000
switching,weighted,1,,0.1,B_B,,,,0.26975213663923575,0.23010970595152505,0.032243511948947604,0.4756015824907374,20000,24000000
switching,weighted_ess,1,,0.1,global,,,,0.131593954009898,0.20488247029456688,0.537278621112699,0.537278621112699,20000,24000000
switching,weighted_ess,1,,0.1,B_A,,,,0.05924379851818224,0.12799544696577506,0.537278621112699,0.9999999999999996,20000,24000000
switching,weighted_ess,1,,0.1,B_B,,,,0.14973744920293083,0.23010970595152505,0.537278621112699,0.9124361279618617,20000,24000000
switching,minvar,1,,0.1,global,,,,0.12494227309611071,0.20488247029456688,nan,43481.0,43481,33884401
switching,minvar,1,,0.1,B_A,,,,0.07534524047110777,0.12799544696577506,nan,7345.0,43481,33884401
switching,minvar,1,,0.1,B_B,,,,0.14570252965152533,0.23010970595152505,nan,11006.0,43481,33884401
switching,weighted,1,,0.15,global,,,,0.19795815222749902,0.3538662352646955,0.032243511948947604,0.032243511948947604,20000,24000000
switching,weighted,1,,0.15,B_A,,,,0.0865786999385109,0.24613203331349942,0.032243511948947604,0.3387446765869752,20000,24000000
switching,weighted,1,,0.15,B_B,,,,0.24618484418921807,0.38857873392717496,0.032243511948947604,0.4756015824907374,20000,24000000
switching,weighted_ess,1,,0.15,global,,,,0.1019778512145673,0.3538662352646955,0.537278621112699,0.537278621112699,20000,24000000
switching,weighted_ess,1,,0.15,B_A,,,,0.05246875688099646,0.24613203331349942,0.537278621112699,0.9999999999999996,20000,24000000
switching,weighted_ess,1,,0.15,B_B,,,,0.11053441884780374,0.38857873392717496,0.537278621112699,0.9124361279618617,20000,24000000
switching,minvar,1,,0.15,global,,,,0.11367785755136395,0.3538662352646955,nan,43481.0,43481,33884401
switching,minvar,1,,0.15,B_A,,,,0.06846337726845415,0.24613203331349942,nan,7345.0,43481,33884401
switching,minvar,1,,0.15,B_B,,,,0.13694397966150604,0.38857873392717496,nan,11006.0,43481,33884401
switching,weighted,2,,0.06,global,,,,0.31632532362524285,0.08820524392046668,0.03243223171117877,0.03243223171117877,20000,24000000
switching,weighted,2,,0.06,B_A,,,,0.3142767521881679,0.05055311994520095,0.03243223171117877,0.3880937249232527,20000,24000000
switching,weighted,2,,0.06,B_B,,,,0.299705834264779,0.10094393113081096,0.03243223171117877,0.5357616067937018,20000,24000000
switching,weighted_ess,2,,0.06,global,,,,0.2078379127538472,0.08820524392046668,0.6556749745807762,0.6556749745807762,20000,24000000
switching,weighted_ess,2,,0.06,B_A,,,,0.06095749939447387,0.05055311994520095,0.6556749745807762,0.9999999999999999,20000,24000000
switching,weighted_ess,2,,0.06,B_B,,,,0.25359073505285396,0.10094393113081096,0.6556749745807762,0.9257259834533386,20000,24000000
switching,minvar,2,,0.06,global,,,,0.10441505419647816,0.08820524392046668,nan,41122.0,41122,32539931
switching,minvar,2,,0.06,B_A,,,,0.1023825222286809,0.05055311994520095,nan,6361.0,41122,32539931
switching,minvar,2,,0.06,B_B,,,,0.10019097538006703,0.10094393113081096,nan,10380.0,41122,32539931
switching,weighted,2,,0.1,global,,,,0.1911621145883729,0.20488247029456688,0.03243223171117877,0.03243223171117877,20000,24000000
switching,weighted,2,,0.1,B_A,,,,0.11810257833105631,0.12799544696577506,0.03243223171117877,0.3880937249232527,20000,24000000
switching,weighted,2,,0.1,B_B,,,,0.21732881285368794,0.23010970595152505,0.03243223171117877,0.5357616067937018,20000,24000000
switching,weighted_ess,2,,0.1,global,,,,0.19095864806174134,0.20488247029456688,0.6556749745807762,0.6556749745807762,20000,24000000
switching,weighted_ess,2,,0.1,B_A,,,,0.04927313590621565,0.12799544696577506,0.6556749745807762,0.9999999999999999,20000,24000000
switching,weighted_ess,2,,0.1,B_B,,,,0.2418674141035525,0.23010970595152505,0.6556749745807762,0.9257259834533386,20000,24000000
switching,minvar,2,,0.1,global,,,,0.09407161155606504,0.20488247029456688,nan,41122.0,41122,32539931
switching,minvar,2,,0.1,B_A,,,,0.10045863520054912,0.12799544696577506,nan,6361.0,41122,32539931
switching,minvar,2,,0.1,B_B,,,,0.08942855838199801,0.23010970595152505,nan,10380.0,41122,32539931
switching,weighted,2,,0.15,global,,,,0.14101346081627833,0.3538662352646955,0.03243223171117877,0.03243223171117877,20000,24000000
switching,weighted,2,,0.15,B_A,,,,0.048496712332238005,0.24613203331349942,0.03243223171117877,0.3880937249232527,20000,24000000
switching,weighted,2,,0.15,B_B,,,,0.18141708123770567,0.38857873392717496,0.03243223171117877,0.5357616067937018,20000,24000000
switching,weighted_ess,2,,0.15,global,,,,0.17697345880447654,0.3538662352646955,0.6556749745807762,0.6556749745807762,20000,24000000
switching,weighted_ess,2,,0.15,B_A,,,,0.03837474925333618,0.24613203331349942,0.6556749745807762,0.9999999999999999,20000,24000000
switching,weighted_ess,2,,0.15,B_B,,,,0.23309400124846064,0.38857873392717496,0.6556749745807762,0.9257259834533386,20000,24000000
switching,minvar,2,,0.15,global,,,,0.08697821593206934,0.3538662352646955,nan,41122.0,41122,32539931
switching,minvar,2,,0.15,B_A,,,,0.09911738071104603,0.24613203331349942,nan,6361.0,41122,32539931
switching,minvar,2,,0.15,B_B,,,,0.08057688313509236,0.38857873392717496,nan,10380.0,41122,32539931
